ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
GABON CENTRAL,GA15002,55488726,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 1,134 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
GABON EXPLORATION,GA15004,258560,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GABON NORTH EAST,GA15001,50497042,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GABON NORTH EAST,GA15001,131464575,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 2,729 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
GABON SOUTH,GA15003,27526576,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GABON SOUTH,GA15003,897371,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 18 KBOE valued at market price,Extractive Industry Reporting,,18 Apr 2016
GREATER DEEP BASIN,CA15004,10615669,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GREATER DEEP BASIN,CA15004,136536,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 4 KBOE valued at government selling price,Extractive Industry Reporting,,18 Apr 2016
GROUNDBIRCH,CA15003,4493267,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GULF OF MEXICO (CENTRAL),US15003,315649017,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GULF OF MEXICO (WEST),US15002,163352599,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GULF OF MEXICO EXPLORATION,US15004,53429642,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
INSITU,CA15002,33204182,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ITALY UPSTREAM ASSET,IT15001,104352782,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
JINQIU+FUSHUN+ZITONG,CN15002,18842305,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 497 KBOE valued at government selling price,Extractive Industry Reporting,,18 Apr 2016
JINQIU+FUSHUN+ZITONG,CN15002,922004,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 25 KBOE valued at government selling price,Extractive Industry Reporting,,18 Apr 2016
JORDAN FIELD EXPERIMENT,JO15001,3000000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
KAPUNI,NZ15002,742945,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MAJNOON,IQ15002,1335946438,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 30,844 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
MAJNOON,IQ15002,15689830,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 342 KBOE valued at market price,Extractive Industry Reporting,,18 Apr 2016
MAUI,NZ15001,8454316,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
MUKHAIZNA PSC,OM15002,23003630,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 442 KBOE valued at government selling price,Extractive Industry Reporting,,18 Apr 2016
Non Core Assets,US15008,22852354,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
NORTH EAST ABU GHARADIG (NEAG),EG15002,13223246,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
NORTH WEST SHELF,AU15005,120230627,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
NORWAY  EXPLORATION PROJECTS,NO15003,7999522,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
OBAIYED,EG15003,34422390,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ONEGAS WEST,UK15001,53998806,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ORMEN LANGE AND DRAUGEN,NO15001,2946998,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
ORMEN LANGE AND DRAUGEN,NO15001,3008589121,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 72,962 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
PEARL GTL,QA15001,989657810,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PERMIAN,US15006,31688747,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
POHOKURA,NZ15003,55711110,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
PSC 1993 (OPL209),NG15002,88954570,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 2,000 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
"PSC 1993 (OPL212/OML118, OPL219/OML135)",NG15001,799332160,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 14,732 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
"PSC 1993 (OPL212/OML118, OPL219/OML135)",NG15001,37424320,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 703 KBOE valued at market price,Extractive Industry Reporting,,18 Apr 2016
"PSC 1993 (OPL212/OML118, OPL219/OML135)",NG15001,368870290,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 6,996 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
PULAU MOA SELATAN,ID15002,1000000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SABAH INBOARD AND DEEPWATER OIL,MY15002,19666676,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SABAH INBOARD AND DEEPWATER OIL,MY15002,42309,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 25 KBOE valued at fixed price,Extractive Industry Reporting,,18 Apr 2016
SABAH INBOARD AND DEEPWATER OIL,MY15002,580626901,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 10,160 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
SABAH INBOARD AND DEEPWATER OIL,MY15002,21586,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,Payment in Kind for 13 KBOE valued at fixed price,Extractive Industry Reporting,,18 Apr 2016
SABAH INBOARD AND DEEPWATER OIL,MY15002,196088735,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 3,452 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
SABLE DEEPWATER,CA15001,7047820,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SARAWAK OIL AND GAS,MY15001,120529339,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SARAWAK OIL AND GAS,MY15001,207351709,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
SARAWAK OIL AND GAS,MY15001,2375146076,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 108,125 KBOE valued at fixed price",Extractive Industry Reporting,,18 Apr 2016
SARAWAK OIL AND GAS,MY15001,467666106,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,"Payment in Kind for 9,736 KBOE valued at market price",Extractive Industry Reporting,,18 Apr 2016
