CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
ITA,CALVELLO MUNICIPALITY,Royalties,KBOE,0,Not assigned,USD,1753127,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,CLEARWATER COUNTY,Fees,KBOE,0,Not assigned,USD,422530,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
IRL,COMMISSION FOR ENERGY REGULATION,Fees,KBOE,0,Not assigned,USD,3399097,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,COMMISSIONER OF THE GENERAL LAND,Fees,KBOE,0,Not assigned,USD,466563,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,COMMONWEALTH OF PENNSYLVANIA,Fees,KBOE,0,Not assigned,USD,11706305,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
GAB,COMMUNE DE GAMBA.,Infrastructure,KBOE,0,Not assigned,USD,16791230,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
IRL,DEPARTMENT OF COMMUNICATIONS,Fees,KBOE,0,Not assigned,USD,914006,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
PHL,DEPARTMENT OF ENERGY,ProductionEntitlements,KBOE,0,Not assigned,USD,315828963,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
GBR,DEPARTMENT OF ENERGY AND CLIMATE,Fees,KBOE,0,Not assigned,USD,5460057,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AUS,DEPARTMENT OF INDUSTRY,Fees,KBOE,0,Not assigned,USD,208637,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
AUS,DEPARTMENT OF INDUSTRY,Royalties,KBOE,0,Not assigned,USD,120230627,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,"DIRECTOR, DIVISION OF OIL AND GAS",Fees,KBOE,0,Not assigned,USD,202840,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NOR,DIREKTORATET FOR SAMFUNNSSIKKERHET,Fees,KBOE,0,Not assigned,USD,453596,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,DUNCANS CARMON CREEK COMMUNITY,Fees,KBOE,0,Not assigned,USD,386488,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
DNK,DANISH ENERGY AGENCY,Tax,KBOE,0,Not assigned,USD,30576894,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NGA,FEDERATION ACCOUNT WITH CBN,Fees,KBOE,0,Not assigned,USD,291115,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
GAB,GABON OIL COMPANY,ProductionEntitlements,KBOE,3881,Market price,USD,187850672,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 3,881 KBOE valued at market price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ARG,GAS Y PETROLEO DEL NEUQUEN S.A.,Bonuses,KBOE,0,Not assigned,USD,12000000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ARG,GAS Y PETROLEO DEL NEUQUEN S.A.,Fees,KBOE,0,Not assigned,USD,139000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,GOVERNMENT OF ALBERTA,Royalties,KBOE,0,Not assigned,USD,89697729,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,GOVERNMENT OF ALBERTA,Tax,KBOE,0,Not assigned,USD,580528,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BRN,GOVERNMENT OF BRUNEI DARUSSALAM,Fees,KBOE,0,Not assigned,USD,1410139,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BRN,GOVERNMENT OF BRUNEI DARUSSALAM,Tax,KBOE,0,Not assigned,USD,102227436,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ITA,GRUMENTO NOVA MUNICIPALITY,Royalties,KBOE,0,Not assigned,USD,1001787,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,INDUSTRY CANADA,Fees,KBOE,0,Not assigned,USD,230669,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NZL,INLAND REVENUE DEPARTMENT,Tax,KBOE,0,Not assigned,USD,58845962,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,INTERNAL REVENUE SERVICE,Tax,KBOE,0,Not assigned,USD,-237747204,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
MYS,KETUA PENGARAH HASIL DALAM NEGERI,Tax,KBOE,0,Not assigned,USD,170964023,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,KIPOHTAKAW MANAGEMENT CORP - ALEXANDER FIRST NATION,Infrastructure,KBOE,0,Not assigned,USD,359982,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,LOUISIANA STATE REVENUE TAX DEPT,Tax,KBOE,0,Not assigned,USD,3444657,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ITA,MARSICO NUOVO MUNICIPALITY,Royalties,KBOE,0,Not assigned,USD,751340,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ITA,MARSICOVETERE MUNICIPALITY,Royalties,KBOE,0,Not assigned,USD,250447,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
IRL,MAYO COUNTY COUNCIL,Infrastructure,KBOE,0,Not assigned,USD,564653,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,MIKISEW CREE FIRST NATION TRUST,Fees,KBOE,0,Not assigned,USD,865771,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,MIKISEW CREE GOVERNMENT,Fees,KBOE,0,Not assigned,USD,283331,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,MINISTER OF FINANCE,Fees,KBOE,0,Not assigned,USD,852236,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,MINISTER OF FINANCE,Royalties,KBOE,0,Not assigned,USD,594864,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BRA,MINISTERIO DA FAZENDA,Royalties,KBOE,0,Not assigned,USD,65401759,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BRA,MINISTERIO DA FAZENDA,Tax,KBOE,0,Not assigned,USD,1144389,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NZL,MINISTRY OF ECONOMIC DEVELOPMENT,Fees,KBOE,0,Not assigned,USD,139534,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NZL,MINISTRY OF ECONOMIC DEVELOPMENT,Royalties,KBOE,0,Not assigned,USD,64908372,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,MINISTRY OF EMPLOY. & INVEST.,Fees,KBOE,0,Not assigned,USD,770691,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
ITA,MONTEMURRO MUNICIPALITY,Royalties,KBOE,0,Not assigned,USD,250447,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,MUNICIPAL DISTRICT OF GREENVIEW NO.,Fees,KBOE,0,Not assigned,USD,581296,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NGA,NIGER DELTA DEVELOPMENT COMMISSION,Fees,KBOE,0,Not assigned,USD,46946550,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,OFFICE OF NATURAL RESOURCES REVENUE,Fees,KBOE,0,Not assigned,USD,60109206,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,OFFICE OF NATURAL RESOURCES REVENUE,Royalties,KBOE,0,Not assigned,USD,479001616,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NOR,OLJEDIREKTORATET,Fees,KBOE,0,Not assigned,USD,10492924,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
OMN,OMAN - MINISTRY OF FINANCE,Tax,KBOE,442,Government selling price,USD,23003630,ROYAL DUTCH SHELL PLC,04366849,Payment in Kind for 442 KBOE valued at government selling price,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
OMN,OMAN - MINISTRY OF FINANCE,Tax,KBOE,0,Not assigned,USD,2089920954,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,PA DEPARTMENT OF TRANSPORTATION,Fees,KBOE,0,Not assigned,USD,700000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NOR,PETORO AS,ProductionEntitlements,KBOE,45330,Market price,USD,1892922939,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 45,330 KBOE valued at market price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
BRA,PETROLEO BRASILEIRO S A,Fees,KBOE,0,Not assigned,USD,262162,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
MYS,PETROLIAM NASIONAL BERHAD,Fees,KBOE,0,Not assigned,USD,35000000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
MYS,PETROLIAM NASIONAL BERHAD,ProductionEntitlements,KBOE,66716,Fixed price,USD,1490806283,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 66,716 KBOE valued at fixed price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
