ProjectCode,ProjectName,CountryCodeList,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
Block I - Aseng Project ,Block I - Aseng Project ,GNQ,Tax,,,,USD,36363000,Glencore plc,,Comment refers to payment type 'production entitlement' only: Includes production lifting of 2.45MM barrels valued at market price under production sharing agreement,Extractives Report,2015-12-31,1,,29 Aug 2016
Block I - Aseng Project ,Block I - Aseng Project ,GNQ,Fees,,,,USD,172000,Glencore plc,,Comment refers to payment type 'production entitlement' only: Includes production lifting of 2.45MM barrels valued at market price under production sharing agreement,Extractives Report,2015-12-31,1,,29 Aug 2016
Block O - Alen Project,Block O - Alen Project,GNQ,ProductionEntitlements,,,,USD,153075000,Glencore plc,,Comment refers to payment type 'production entitlement' only: Includes production lifting of 3.49MM barrels valued at market price under production sharing agreement,Extractives Report,2015-12-31,1,,29 Aug 2016
Block O - Alen Project,Block O - Alen Project,GNQ,Fees,,,,USD,136000,Glencore plc,,Comment refers to payment type 'production entitlement' only: Includes production lifting of 3.49MM barrels valued at market price under production sharing agreement,Extractives Report,2015-12-31,1,,29 Aug 2016
Block V Project ,Block V Project ,GNQ,Fees,,,,USD,279000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
North-East Kazakhstan Project - Kazzinc,North-East Kazakhstan Project - Kazzinc,KAZ,Tax,,,,USD,79986000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
North-East Kazakhstan Project - Kazzinc,North-East Kazakhstan Project - Kazzinc,KAZ,Royalties,,,,USD,65890000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Karas Project - Rosh Pinah Mine,Karas Project - Rosh Pinah Mine,NAM,Tax,,,,USD,6659000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Karas Project - Rosh Pinah Mine,Karas Project - Rosh Pinah Mine,NAM,Royalties,,,,USD,1043000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Cusco Project - Minera Antapaccay,Cusco Project - Minera Antapaccay,PER,Tax,,,,USD,54204000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Cusco Project - Minera Antapaccay,Cusco Project - Minera Antapaccay,PER,Royalties,,,,USD,26728000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Cusco Project - Minera Antapaccay,Cusco Project - Minera Antapaccay,PER,Fees,,,,USD,4716000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Huarochiri Project - Minera Los Quenuales,Huarochiri Project - Minera Los Quenuales,PER,Royalties,,,,USD,894000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Huarochiri Project - Minera Los Quenuales,Huarochiri Project - Minera Los Quenuales,PER,Fees,,,,USD,439000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Oyon Project - Minera Los Quenuales,Oyon Project - Minera Los Quenuales,PER,Royalties,,,,USD,1203000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Oyon Project - Minera Los Quenuales,Oyon Project - Minera Los Quenuales,PER,Fees,,,,USD,1441000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Mpumalanga Province Project - Thermal Coal,Mpumalanga Province Project - Thermal Coal,ZAF,Royalties,,,,USD,11864971,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Mpumalanga Province Project - Thermal Coal,Mpumalanga Province Project - Thermal Coal,ZAF,Infrastructure,,,,USD,743988,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
North West Province Project - Ferroalloys Assets,North West Province Project - Ferroalloys Assets,ZAF,Royalties,,,,USD,108975,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
North West Province Project - Ferroalloys Assets,North West Province Project - Ferroalloys Assets,ZAF,Infrastructure,,,,USD,1355064,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Kagera Region Project - Kabanga,Kagera Region Project - Kabanga,TZA,Fees,,,,USD,206000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Copperbelt Region Project - Mopani,Copperbelt Region Project - Mopani,ZMB,Tax,,,,USD,270000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Copperbelt Region Project - Mopani,Copperbelt Region Project - Mopani,ZMB,Royalties,,,,USD,41885000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
Lusaka Region Project - Limeco Resources,Lusaka Region Project - Limeco Resources,ZMB,Fees,,,,USD,4000,Glencore plc,,,Extractives Report,2015-12-31,1,,29 Aug 2016
