Government,CountryCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
DEPARTMENT OF ENERGY AND CLIMATE,GBR,5460057,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
DEPARTMENT OF INDUSTRY,AUS,120439264,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
DEPARTMENT OF PETROLEUM RESOURCES,NGA,541764943,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
DEPARTMENT OF PETROLEUM RESOURCES,NGA,37424320,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1, Payment in Kind for 703 KBOE valued at market price ,Extractive Industry Reporting,,18 Apr 2016
"DIRECTOR, DIVISION OF OIL AND GAS",USA,202840,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
DIREKTORATET FOR SAMFUNNSSIKKERHET,NOR,453596,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
DUNCANS CARMON CREEK COMMUNITY,CAN,386488,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
EGYPTIAN GENERAL PETROLEUM CORPORATION,EGY,185566882,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
FEDERAL INLAND REVENUE SERVICE (FIRS),NGA,260095760,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
FEDERAL INLAND REVENUE SERVICE (FIRS),NGA,457824860,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 8,996 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
FEDERATION ACCOUNT WITH CBN,NGA,291115,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GABON OIL COMPANY,GAB,187850672,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1," Payment in Kind for 3,881 KBOE valued at market price ",Extractive Industry Reporting,,18 Apr 2016
GAS Y PETROLEO DEL NEUQUEN S.A.,ARG,12139000,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GOVERNMENT OF ALBERTA,CAN,90278257,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GOVERNMENT OF BRUNEI DARUSSALAM,BRN,103637575,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
GRUMENTO NOVA MUNICIPALITY,ITA,1001787,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
HM REVENUE & CUSTOMS,GBR,-128360400,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
INDUSTRY CANADA,CAN,230669,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
INLAND REVENUE DEPARTMENT,NZL,58845962,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
INTERNAL REVENUE SERVICE,USA,-237747204,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
KETUA PENGARAH HASIL DALAM NEGERI,MYS,170964023,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
LOUISIANA STATE REVENUE TAX DEPT,USA,3444657,USD,ROYAL DUTCH SHELL PLC,04366849,2015-12-31,1,,Extractive Industry Reporting,,18 Apr 2016
